ticker,name,sector,grade,score,nature,price,drop,bounce,roe,fwd_pe,quality,analyst_rec,analyst_upside,insider_signal,rsi,shares,amount,stop_loss,stop_pct,target_1,target_2,target_3,risk_reward,reasons,warnings
INTU,Intuit Inc.,Technology,STRONG BUY,71.82626666666667,MOSTLY_TEMPORARY,275.3500061035156,-0.4259805893779038,0.07950757908403958,0.22496,10.1,83.30506666666668,buy,0.7672405302342473,SELLING,48.95414422244373,18,4956.3,253.32,-0.07999999999999995,367.38,423.53,462.28,6.7,Quality 83/100 (top tier) | Fwd PE 10.1 (cheap) | Bounce +8.0% | Analyst: buy (32) | Upside to target: +77%,Insider selling (4 sells)
LULU,lululemon athletica inc.,Consumer Cyclical,STRONG BUY,60.0,MIXED,118.43000030517578,-0.31614502070747635,0.12330456191188878,0.32027,10.4,88.9947,hold,0.11593346280503242,BUYING,45.5448161857275,42,4974.06,108.96,-0.07999999999999992,139.3,156.24,166.4,4.0,Quality 89/100 (top tier) | Fwd PE 10.4 (cheap) | Strong bounce +12.3% | Insider BUYING (2 buys),Mixed signals — score ×0.75
TTD,"The Trade Desk, Inc.",Communication Services,STRONG BUY,62.71513366666667,TEMPORARY,19.100000381469727,-0.3588452569830471,0.1021350528306958,0.16735001,8.9,78.86053466666667,hold,0.27853403141361255,SELLING,51.655635203839964,261,4985.1,17.57,-0.08,23.56,26.68,28.54,5.0,Fwd PE 8.9 (cheap) | Strong bounce +10.2%,Insider selling (2 sells)
CBOE,"Cboe Global Markets, Inc.",Financial Services,STRONG BUY,64.168925,TEMPORARY,248.99000549316406,-0.319574905722201,0.07550434711712622,0.2514,16.9,84.6757,hold,0.2843314992569983,SELLING,26.19024642837394,20,4979.8,236.54,-0.050000000000000065,298.72,332.33,352.49,6.7,Quality 85/100 (top tier) | Bounce +7.6% | RSI 26 (oversold),Insider selling (2 sells)
ACN,Accenture plc,Technology,STRONG BUY,83.38520833333334,TEMPORARY,137.35000610351562,-0.355745215973226,0.10374480399249568,0.24406,9.4,73.54083333333334,buy,0.30535711685475064,NEUTRAL,30.3555106122037,36,4944.6,126.36,-0.07999999999999996,168.82,191.0,204.32,4.9,Fwd PE 9.4 (cheap) | Strong bounce +10.4% | Analyst: buy (25) | Upside to target: +31%,
BSX,Boston Scientific Corporation,Healthcare,STRONG BUY,75.7745,TEMPORARY,45.13999938964844,-0.3815591079492983,0.05763821618750864,0.14661,12.1,71.098,strong_buy,0.6614975631369073,BUYING,40.379141572799696,110,4965.4,42.88,-0.05,57.83,65.41,71.25,9.0,Bounce +5.8% | Insider BUYING (3 buys) | Analyst: strong_buy (29) | Upside to target: +66%,
PODD,Insulet Corporation,Healthcare,STRONG BUY,73.77379966666666,TEMPORARY,164.47999572753906,-0.3173404413510013,0.18356475701775826,0.22997999,20.3,75.09519866666666,strong_buy,0.46066391050583666,BUYING,64.36220484629547,30,4934.4,151.32,-0.0799999999999999,189.96,215.45,230.74,3.9,Strong bounce +18.4% | Insider BUYING (3 buys) | Analyst: strong_buy (24) | Upside to target: +46% | Above 50-day MA,
TPL,Texas Pacific Land Corporation,Energy,STRONG BUY,78.9422,TEMPORARY,407.20001220703125,-0.24447905461316266,0.14872489163496577,0.36466,5.6,99.7688,none,0.09282907662082518,BUYING,62.77224393520394,12,4886.4,374.62,-0.08000000000000003,446.72,492.84,520.52,2.6,Quality 100/100 (top tier) | Fwd PE 5.6 (cheap) | Strong bounce +14.9% | Insider BUYING (14 buys) | Above 50-day MA,
NFLX,"Netflix, Inc.",Communication Services,BUY,59.939225,MOSTLY_TEMPORARY,77.6500015258789,-0.27961776726645077,0.09520451135020373,0.48494998,20.2,83.7569,buy,0.4700052801030263,SELLING,42.885226137886974,64,4969.6,72.0,-0.07276241358470412,89.35,98.57,108.44,3.7,Quality 84/100 (top tier) | Bounce +9.5% | Analyst: buy (44) | Upside to target: +47%,Insider selling (7 sells)
CTSH,Cognizant Technology Solutions ,Technology,STRONG BUY,81.28556666666667,TEMPORARY,41.9900016784668,-0.3618157773289023,0.0841725322685669,0.14876,6.8,65.14226666666667,buy,0.6199571326506311,NEUTRAL,28.003820177733218,119,4996.81,38.63,-0.08000000000000002,52.26,59.03,64.62,5.1,Fwd PE 6.8 (cheap) | Bounce +8.4% | Analyst: buy (25) | Upside to target: +62% | RSI 28 (oversold),
